location,lat,long,geology,BaselineSST,RCP4.5_2091thru2100_SST,RCP6.0_2091thru2100_SST,RCP8.5_2091thru2100_SST,seasonality
LINE4,3.985595,-159.213894,Oceanic,27.7803019,28.86819723,29.29828197,30.4193883,0.512141152
LINE5,6.334291,-162.205399,Oceanic,28.01538414,29.02275172,29.51153206,30.59581195,0.507951674
Lizard,-14.237567,145.424759,Continental,26.98230386,27.78299178,28.21960308,29.3137259,2.152207477
LORDHOWE,-31.545277,159.153238,Oceanic,21.5949662,22.48363909,22.78809949,23.66752149,2.426469689
Mackay,-20.586244,151.368587,Continental,25.92960846,26.81643072,27.18639226,28.28456884,2.486235682
MADAGASCAR1,-25.186471,43.468006,Continental,25.06137451,26.08970271,26.43130859,27.63532038,2.073914886
MADAGASCAR2,-24.868254,47.74343,Continental,25.44202823,26.35535017,26.79101581,27.67133909,1.932993667
MADAGASCAR3,-19.93025,43.591243,Continental,26.92835014,28.01127581,28.41571713,29.48814247,2.117574652
MADAGASCAR4,-19.000534,49.625033,Continental,26.59270963,27.47341362,27.90706154,28.71831897,2.128228424
MADAGASCAR5,-14.759018,46.153612,Continental,27.59333977,28.60604157,28.94317918,29.81139054,1.979974886
MADAGASCAR6,-12.427946,44.761882,Oceanic,27.3795108,28.42198745,28.76760691,29.69697575,1.979744538
MADAGASCAR7,-11.687331,49.806189,Continental,26.69600288,27.69292646,28.04779477,28.97688743,2.07625453
MADAGASCAR8,-9.649493,51.808724,Oceanic,27.14132446,28.19026321,28.57461176,29.65256764,2.006807
MADAGASCAR9,-9.46222,46.933591,Oceanic,27.06482085,28.12280603,28.48057631,29.51172306,2.256864742
MALAYSIA1,9.057829,97.443691,Continental,28.69840683,29.44182317,29.73483312,30.8192361,0.666237
MALAYSIA2,13.505295,97.600539,Continental,28.6831685,29.36007852,29.65410165,30.72611512,0.931894
MALDIVES1,-0.342349,73.518398,Oceanic,28.96090111,29.91695465,30.48812164,31.53230779,0.57445653
MALDIVES2,1.04967,73.363598,Oceanic,28.91923042,29.92380093,30.51254643,31.58917505,0.559101
MALDIVES3,2.910474,73.181212,Oceanic,28.73352867,29.82817729,30.31948487,31.43166952,0.557968
MALDIVES4,5.180716,73.310808,Oceanic,28.64077744,29.74310593,30.10073189,31.2481571,0.539855
MALDIVES5,7.071236,73.105436,Oceanic,28.71763992,29.84953155,30.09908142,31.32452418,0.619832
MALDIVES6,8.277368,73.176897,Oceanic,28.75043968,29.87321571,30.08719174,31.36242317,0.647986
MALDIVES7,10.040623,72.438923,Oceanic,28.77482262,29.93288981,30.05016798,31.39902102,0.690361
MALDIVES8,10.80043,73.797059,Oceanic,28.72076614,29.85581011,29.96799425,31.31852767,0.490104
MALDIVES9,11.848316,71.904252,Oceanic,28.66650375,29.90756007,29.98567795,31.32043289,0.713124
MARSHALLS1,-2.829137,177.097868,Oceanic,29.16848343,30.26813672,30.90461574,32.00002047,0.235518205
MARSHALLS10,11.557995,169.959178,Oceanic,27.90427132,28.96923637,29.62560158,30.72207247,0.937406886
MARSHALLS11,14.537473,169.154673,Oceanic,27.68995819,28.7501737,29.36376724,30.43601914,1.014055727
MARSHALLS2,0,173.875258,Oceanic,28.74022118,29.86979156,30.6071405,31.63944298,0.370784773
MARSHALLS3,3.153803,173.100561,Oceanic,28.86586884,30.02690349,30.71504309,31.7497211,0.388079326
MARSHALLS4,4.734571,168.504859,Oceanic,29.01418266,30.0934274,30.76996142,31.74621544,0.370122152
MARSHALLS5,6.025376,172.282166,Oceanic,28.70946068,29.78142927,30.37920365,31.37073108,0.516002841
MARSHALLS6,9.370543,169.344153,Oceanic,28.32202896,29.42472836,30.04038503,31.13264462,0.821613333
MARSHALLS7,9.660596,161.084178,Oceanic,28.4359095,29.45706505,30.11155647,31.21084388,0.769025364
